,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Population,Susceptiple,Log susceptiple,Decresed susceptiple
8,2020-01-30,1,0,0,1,1,0,0,1377233523,1377233522,21.04334262982367,0
9,2020-01-31,1,0,0,1,0,0,0,1377233523,1377233522,21.04334262982367,0
10,2020-02-01,1,0,0,1,0,0,0,1377233523,1377233522,21.04334262982367,0
11,2020-02-02,2,0,0,2,1,0,0,1377233523,1377233521,21.043342629097577,1
12,2020-02-03,3,0,0,3,1,0,0,1377233523,1377233520,21.043342628371484,1
13,2020-02-04,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
14,2020-02-05,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
15,2020-02-06,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
16,2020-02-07,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
17,2020-02-08,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
18,2020-02-09,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
19,2020-02-10,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
20,2020-02-11,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
21,2020-02-12,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
22,2020-02-13,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
23,2020-02-14,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
24,2020-02-15,3,0,0,3,0,0,0,1377233523,1377233520,21.043342628371484,0
25,2020-02-16,3,0,3,0,0,0,3,1377233523,1377233520,21.043342628371484,0
26,2020-02-17,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
27,2020-02-18,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
28,2020-02-19,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
29,2020-02-20,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
30,2020-02-21,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
31,2020-02-22,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
32,2020-02-23,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
33,2020-02-24,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
34,2020-02-25,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
35,2020-02-26,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
36,2020-02-27,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
37,2020-02-28,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
38,2020-02-29,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
39,2020-03-01,3,0,3,0,0,0,0,1377233523,1377233520,21.043342628371484,0
40,2020-03-02,5,0,3,2,2,0,0,1377233523,1377233518,21.043342626919298,2
41,2020-03-03,5,0,3,2,0,0,0,1377233523,1377233518,21.043342626919298,0
42,2020-03-04,28,0,3,25,23,0,0,1377233523,1377233495,21.043342610219153,23
43,2020-03-05,30,0,3,27,2,0,0,1377233523,1377233493,21.043342608766967,2
44,2020-03-06,31,0,3,28,1,0,0,1377233523,1377233492,21.043342608040874,1
45,2020-03-07,34,0,3,31,3,0,0,1377233523,1377233489,21.04334260586259,3
46,2020-03-08,39,0,3,36,5,0,0,1377233523,1377233484,21.043342602232126,5
47,2020-03-09,43,0,3,40,4,0,0,1377233523,1377233480,21.04334259932775,4
48,2020-03-10,56,0,4,52,13,0,1,1377233523,1377233467,21.04334258988854,13
49,2020-03-11,62,1,4,57,6,1,0,1377233523,1377233461,21.04334258553198,6
50,2020-03-12,73,1,4,68,11,0,0,1377233523,1377233450,21.043342577544955,11
51,2020-03-13,82,2,4,76,9,1,0,1377233523,1377233441,21.043342571010115,9
52,2020-03-14,102,2,4,96,20,0,0,1377233523,1377233421,21.04334255648825,20
53,2020-03-15,113,2,13,98,11,0,9,1377233523,1377233410,21.04334254850122,11
54,2020-03-16,119,2,13,104,6,0,0,1377233523,1377233404,21.04334254414466,6
55,2020-03-17,142,3,14,125,23,1,1,1377233523,1377233381,21.043342527444512,23
56,2020-03-18,156,3,14,139,14,0,0,1377233523,1377233367,21.043342517279207,14
57,2020-03-19,194,4,15,175,38,1,1,1377233523,1377233329,21.04334248968766,38
58,2020-03-20,244,5,20,219,50,1,5,1377233523,1377233279,21.04334245338299,50
59,2020-03-21,330,4,23,303,86,-1,3,1377233523,1377233193,21.043342390938953,86
60,2020-03-22,396,7,27,362,66,3,4,1377233523,1377233127,21.043342343016786,66
61,2020-03-23,499,10,27,462,103,3,0,1377233523,1377233024,21.043342268229154,103
62,2020-03-24,536,10,40,486,37,0,13,1377233523,1377232987,21.043342241363693,37
63,2020-03-25,657,12,43,602,121,2,3,1377233523,1377232866,21.04334215350637,121
64,2020-03-26,727,20,45,662,70,8,2,1377233523,1377232796,21.043342102679812,70
65,2020-03-27,887,20,73,794,160,0,28,1377233523,1377232636,21.04334198650482,160
66,2020-03-28,987,24,84,879,100,4,11,1377233523,1377232536,21.043341913895443,100
67,2020-03-29,1024,27,95,902,37,3,11,1377233523,1377232499,21.043341887029975,37
68,2020-03-30,1251,32,102,1117,227,5,7,1377233523,1377232272,21.043341722206662,227
69,2020-03-31,1397,35,123,1239,146,3,21,1377233523,1377232126,21.043341616196944,146
70,2020-04-01,1998,58,148,1792,601,23,25,1377233523,1377231525,21.043341179814348,601
71,2020-04-02,2543,72,191,2280,545,14,43,1377233523,1377230980,21.04334078409286,545
72,2020-04-03,2567,72,192,2303,24,0,1,1377233523,1377230956,21.04334076666659,24
73,2020-04-04,3082,86,229,2767,515,14,37,1377233523,1377230441,21.043340392727785,515
74,2020-04-05,3588,99,229,3260,506,13,0,1377233523,1377229935,21.043340025323698,506
75,2020-04-06,4778,136,375,4267,1190,37,146,1377233523,1377228745,21.043339161270076,1190
76,2020-04-07,5311,150,421,4740,533,14,46,1377233523,1377228212,21.043338774260942,533
77,2020-04-08,5916,178,506,5232,605,28,85,1377233523,1377227607,21.04333833497272,605
78,2020-04-09,6725,226,620,5879,809,48,114,1377233523,1377226798,21.043337747560564,809
79,2020-04-10,7598,246,774,6578,873,20,154,1377233523,1377225925,21.043337113677836,873
80,2020-04-11,8446,288,969,7189,848,42,195,1377233523,1377225077,21.043336497947152,848
81,2020-04-12,9205,331,1080,7794,759,43,111,1377233523,1377224318,21.043335946838827,759
82,2020-04-13,10453,358,1181,8914,1248,27,101,1377233523,1377223070,21.04333504066795,1248
83,2020-04-14,11487,393,1359,9735,1034,35,178,1377233523,1377222036,21.043334289881525,1034
84,2020-04-15,12322,405,1432,10485,835,12,73,1377233523,1377221201,21.043333683588397,835
85,2020-04-16,13430,448,1768,11214,1108,43,336,1377233523,1377220093,21.043332879069528,1108
86,2020-04-17,14352,486,2041,11825,922,38,273,1377233523,1377219171,21.043332209604774,922
87,2020-04-18,15722,521,2463,12738,1370,35,422,1377233523,1377217801,21.043331214846127,1370
88,2020-04-19,17615,559,2854,14202,1893,38,391,1377233523,1377215908,21.04332984033492,1893
89,2020-04-20,18539,592,3273,14674,924,33,419,1377233523,1377214984,21.043329169415927,924
90,2020-04-21,20080,645,3975,15460,1541,53,702,1377233523,1377213443,21.0433280504905,1541
91,2020-04-22,21370,681,4370,16319,1290,36,395,1377233523,1377212153,21.04332711381608,1290
92,2020-04-23,23077,721,5012,17344,1707,40,642,1377233523,1377210446,21.04332587435486,1707
93,2020-04-24,24530,780,5498,18252,1453,59,486,1377233523,1377208993,21.043324819323093,1453
94,2020-04-25,26283,825,5939,19519,1753,45,441,1377233523,1377207240,21.0433235464581,1753
95,2020-04-26,27890,881,6523,20486,1607,56,584,1377233523,1377205633,21.043322379603257,1607
96,2020-04-27,29451,939,7137,21375,1561,58,614,1377233523,1377204072,21.04332124614806,1561
97,2020-04-28,31324,1008,7747,22569,1873,69,610,1377233523,1377202199,21.043319886145348,1873
98,2020-04-29,33062,1079,8437,23546,1738,71,690,1377233523,1377200461,21.043318624165735,1738
99,2020-04-30,34863,1154,9068,24641,1801,75,631,1377233523,1377198660,21.043317316439495,1801
100,2020-05-01,37257,1223,10007,26027,2394,69,939,1377233523,1377196266,21.04331557812668,2394
101,2020-05-02,39699,1323,10819,27557,2442,100,812,1377233523,1377193824,21.04331380495736,2442
102,2020-05-03,42505,1391,11775,29339,2806,68,956,1377233523,1377191018,21.043311767478823,2806
103,2020-05-04,46437,1566,12847,32024,3932,175,1072,1377233523,1377187086,21.043308912387875,3932
104,2020-05-05,49400,1693,14142,33565,2963,127,1295,1377233523,1377184123,21.04330676089864,2963
105,2020-05-06,52987,1785,15331,35871,3587,92,1189,1377233523,1377180536,21.043304156305243,3587
106,2020-05-07,56351,1889,16776,37686,3364,104,1445,1377233523,1377177172,21.043301713630505,3364
107,2020-05-08,59695,1985,17887,39823,3344,96,1111,1377233523,1377173828,21.04329928547229,3344
108,2020-05-09,62808,2101,19301,41406,3113,116,1414,1377233523,1377170715,21.043297025043394,3113
109,2020-05-10,67161,2212,20969,43980,4353,111,1668,1377233523,1377166362,21.04329386421022,4353
110,2020-05-11,70768,2294,22549,45925,3607,82,1580,1377233523,1377162755,21.043291245060622,3607
111,2020-05-12,74292,2415,24420,47457,3524,121,1871,1377233523,1377159231,21.04328868617316,3524
112,2020-05-13,78055,2551,26400,49104,3763,136,1980,1377233523,1377155468,21.043285953733037,3763
