,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Population,Susceptiple,Log susceptiple,Decresed susceptiple
9,2020-01-31,2,0,0,2,2,0,0,60479424,60479422,17.91781373291158,0
10,2020-02-01,2,0,0,2,0,0,0,60479424,60479422,17.91781373291158,0
11,2020-02-02,2,0,0,2,0,0,0,60479424,60479422,17.91781373291158,0
12,2020-02-03,2,0,0,2,0,0,0,60479424,60479422,17.91781373291158,0
13,2020-02-04,2,0,0,2,0,0,0,60479424,60479422,17.91781373291158,0
14,2020-02-05,2,0,0,2,0,0,0,60479424,60479422,17.91781373291158,0
15,2020-02-06,2,0,0,2,0,0,0,60479424,60479422,17.91781373291158,0
16,2020-02-07,3,0,0,3,1,0,0,60479424,60479421,17.91781371637703,1
17,2020-02-08,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
18,2020-02-09,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
19,2020-02-10,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
20,2020-02-11,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
21,2020-02-12,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
22,2020-02-13,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
23,2020-02-14,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
24,2020-02-15,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
25,2020-02-16,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
26,2020-02-17,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
27,2020-02-18,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
28,2020-02-19,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
29,2020-02-20,3,0,0,3,0,0,0,60479424,60479421,17.91781371637703,0
30,2020-02-21,20,1,0,19,17,1,0,60479424,60479404,17.91781343528964,17
31,2020-02-22,62,2,1,59,42,1,1,60479424,60479362,17.917812740838112,42
32,2020-02-23,155,3,2,150,93,1,1,60479424,60479269,17.917811203122294,93
33,2020-02-24,229,7,1,221,74,4,-1,60479424,60479195,17.917809979561785,74
34,2020-02-25,322,10,1,311,93,3,0,60479424,60479102,17.91780844184172,93
35,2020-02-26,453,12,3,438,131,2,2,60479424,60478971,17.917806275801926,131
36,2020-02-27,655,17,45,593,202,5,42,60479424,60478769,17.91780293579243,202
37,2020-02-28,888,21,46,821,233,4,1,60479424,60478536,17.917799083193366,233
38,2020-02-29,1128,29,46,1053,240,8,0,60479424,60478296,17.917795114835464,240
39,2020-03-01,1694,34,83,1577,566,5,37,60479424,60477730,17.917785756062386,566
40,2020-03-02,2036,52,149,1835,342,18,66,60479424,60477388,17.917780101072243,342
41,2020-03-03,2502,79,160,2263,466,27,11,60479424,60476922,17.917772395683322,466
42,2020-03-04,3089,107,276,2706,587,28,116,60479424,60476335,17.917762689454413,587
43,2020-03-05,3858,148,414,3296,769,41,138,60479424,60475566,17.917749973655923,769
44,2020-03-06,4636,197,523,3916,778,49,109,60479424,60474788,17.917737108873403,778
45,2020-03-07,5883,233,589,5061,1247,36,66,60479424,60473541,17.91771648849757,1247
46,2020-03-08,7375,366,622,6387,1492,133,33,60479424,60472049,17.917691816246187,1492
