,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Population,Susceptiple,Log susceptiple,Decresed susceptiple
0,2020-01-22,2,0,0,2,0,0,0,126552765,126552763,18.65616987798455,0
1,2020-01-23,2,0,0,2,0,0,0,126552765,126552763,18.65616987798455,0
2,2020-01-24,2,0,0,2,0,0,0,126552765,126552763,18.65616987798455,0
3,2020-01-25,2,0,0,2,0,0,0,126552765,126552763,18.65616987798455,0
4,2020-01-26,4,0,1,3,2,0,1,126552765,126552761,18.656169862180864,2
5,2020-01-27,4,0,1,3,0,0,0,126552765,126552761,18.656169862180864,0
6,2020-01-28,7,0,1,6,3,0,0,126552765,126552758,18.656169838475336,3
7,2020-01-29,7,0,1,6,0,0,0,126552765,126552758,18.656169838475336,0
8,2020-01-30,11,0,1,10,4,0,0,126552765,126552754,18.656169806867965,4
9,2020-01-31,15,0,1,14,4,0,0,126552765,126552750,18.65616977526059,4
10,2020-02-01,20,0,1,19,5,0,0,126552765,126552745,18.656169735751373,5
11,2020-02-02,20,0,1,19,0,0,0,126552765,126552745,18.656169735751373,0
12,2020-02-03,20,0,1,19,0,0,0,126552765,126552745,18.656169735751373,0
13,2020-02-04,22,0,1,21,2,0,0,126552765,126552743,18.656169719947687,2
14,2020-02-05,23,0,1,22,1,0,0,126552765,126552742,18.65616971204584,1
15,2020-02-06,23,0,1,22,0,0,0,126552765,126552742,18.65616971204584,0
16,2020-02-07,23,0,1,22,0,0,0,126552765,126552742,18.65616971204584,0
17,2020-02-08,24,0,1,23,1,0,0,126552765,126552741,18.656169704144,1
18,2020-02-09,24,0,1,23,0,0,0,126552765,126552741,18.656169704144,0
19,2020-02-10,26,0,4,22,2,0,3,126552765,126552739,18.65616968834031,2
20,2020-02-11,27,0,9,18,1,0,5,126552765,126552738,18.656169680438467,1
21,2020-02-12,28,0,9,19,1,0,0,126552765,126552737,18.656169672536624,1
22,2020-02-13,33,1,9,23,5,1,0,126552765,126552732,18.6561696330274,5
23,2020-02-14,43,1,9,33,10,0,0,126552765,126552722,18.656169554008954,10
24,2020-02-15,54,1,12,41,11,0,3,126552765,126552711,18.656169467088652,11
25,2020-02-16,60,1,12,47,6,0,0,126552765,126552705,18.65616941967758,6
26,2020-02-17,67,1,12,54,7,0,0,126552765,126552698,18.656169364364654,7
27,2020-02-18,79,2,13,64,12,1,1,126552765,126552686,18.65616926954249,12
28,2020-02-19,85,2,18,65,6,0,5,126552765,126552680,18.656169222131407,6
29,2020-02-20,95,2,18,75,10,0,0,126552765,126552670,18.656169143112926,10
30,2020-02-21,112,2,22,88,17,0,4,126552765,126552653,18.656169008781497,17
31,2020-02-22,137,2,22,113,25,0,0,126552765,126552628,18.656168811235244,25
32,2020-02-23,149,2,22,125,12,0,0,126552765,126552616,18.656168716413028,12
33,2020-02-24,160,2,22,136,11,0,0,126552765,126552605,18.656168629492655,11
34,2020-02-25,173,3,22,148,13,1,0,126552765,126552592,18.656168526768568,13
35,2020-02-26,192,3,22,167,19,0,0,126552765,126552573,18.65616837663335,19
36,2020-02-27,218,4,22,192,26,1,0,126552765,126552547,18.656168171185115,26
37,2020-02-28,236,5,22,209,18,1,0,126552765,126552529,18.656168028951697,18
38,2020-02-29,245,6,32,207,9,1,10,126552765,126552520,18.65616795783498,9
39,2020-03-01,259,6,32,221,14,0,0,126552765,126552506,18.656167847208966,14
40,2020-03-02,278,6,32,240,19,0,0,126552765,126552487,18.65616769707364,19
41,2020-03-03,298,6,43,249,20,0,11,126552765,126552467,18.656167539036435,20
42,2020-03-04,333,7,43,283,35,1,0,126552765,126552432,18.656167262471264,35
43,2020-03-05,365,7,43,315,32,0,0,126552765,126552400,18.65616700961161,32
44,2020-03-06,420,7,46,367,55,0,3,126552765,126552345,18.656166575008932,55
45,2020-03-07,466,7,76,383,46,0,30,126552765,126552299,18.656166211522912,46
46,2020-03-08,499,8,76,415,33,1,0,126552765,126552266,18.656165950761118,33
47,2020-03-09,527,10,76,441,28,2,0,126552765,126552238,18.656165729508636,28
48,2020-03-10,585,13,101,471,58,3,25,126552765,126552180,18.656165271199765,58
49,2020-03-11,640,15,118,507,55,2,17,126552765,126552125,18.656164836596332,55
50,2020-03-12,696,19,118,559,56,4,0,126552765,126552069,18.656164394090823,56
51,2020-03-13,733,21,118,594,37,2,0,126552765,126552032,18.656164101721004,37
52,2020-03-14,795,22,118,655,62,1,0,126552765,126551970,18.65616361180382,62
53,2020-03-15,826,24,118,684,31,2,0,126552765,126551939,18.65616336684514,31
54,2020-03-16,843,30,144,669,17,6,26,126552765,126551922,18.65616323251293,17
55,2020-03-17,893,30,144,719,50,0,0,126552765,126551872,18.656162837418105,50
56,2020-03-18,928,32,144,752,35,2,0,126552765,126551837,18.65616256085163,35
57,2020-03-19,968,33,150,785,40,1,6,126552765,126551797,18.65616224477557,40
58,2020-03-20,1022,34,191,797,54,1,41,126552765,126551743,18.656161818072725,54
59,2020-03-21,1059,36,232,791,37,2,41,126552765,126551706,18.656161525702156,37
60,2020-03-22,1104,40,235,829,45,4,3,126552765,126551661,18.65616117011621,45
61,2020-03-23,1144,41,235,868,40,1,0,126552765,126551621,18.656160854039708,40
62,2020-03-24,1217,42,285,890,73,1,50,126552765,126551548,18.656160277199834,73
63,2020-03-25,1314,45,310,959,97,3,25,126552765,126551451,18.65615951071346,97
64,2020-03-26,1416,47,359,1010,102,2,49,126552765,126551349,18.656158704716844,102
65,2020-03-27,1530,53,372,1105,114,6,13,126552765,126551235,18.65615780389633,114
66,2020-03-28,1728,56,404,1268,198,3,32,126552765,126551037,18.656156239311404,198
67,2020-03-29,1907,63,424,1420,179,7,20,126552765,126550858,18.656154824861307,179
68,2020-03-30,2001,65,424,1512,94,2,0,126552765,126550764,18.656154082076654,94
69,2020-03-31,2255,67,424,1764,254,2,0,126552765,126550510,18.656152074974944,254
70,2020-04-01,2535,72,472,1991,280,5,48,126552765,126550230,18.65614986241721,280
71,2020-04-02,2818,75,472,2271,283,3,0,126552765,126549947,18.656147626148524,283
72,2020-04-03,3154,81,514,2559,336,6,42,126552765,126549611,18.656144971066844,336
73,2020-04-04,3525,87,514,2924,371,6,0,126552765,126549240,18.656142039405964,371
74,2020-04-05,3876,93,514,3269,351,6,0,126552765,126548889,18.65613926577819,351
75,2020-04-06,4110,96,575,3439,234,3,61,126552765,126548655,18.656137416688733,234
76,2020-04-07,4485,98,592,3795,375,2,17,126552765,126548280,18.656134453397218,375
77,2020-04-08,5020,105,622,4293,535,7,30,126552765,126547745,18.65613022575279,535
78,2020-04-09,5614,113,632,4869,594,8,10,126552765,126547151,18.656125531861214,594
79,2020-04-10,6250,125,685,5440,636,12,53,126552765,126546515,18.65612050605389,636
80,2020-04-11,6951,138,762,6051,701,13,77,126552765,126545814,18.656114966573476,701
81,2020-04-12,7473,147,762,6564,522,9,0,126552765,126545292,18.656110841576684,522
