,Date,Confirmed,Deaths,Population,Susceptiple,Log susceptiple,Decresed susceptiple
0,3/10/20,150,0,26161672,26161522,17.07980026328899,0
1,3/11/20,220,1,26161672,26161452,17.079797587600105,70
2,3/12/20,327,1,26161672,26161345,17.079793497604687,107
3,3/13/20,421,2,26161672,26161251,17.079789904510797,94
4,3/14/20,613,5,26161672,26161059,17.079782565385287,192
5,3/15/20,615,10,26161672,26161057,17.07978248893578,2
6,3/16/20,967,21,26161672,26160705,17.079769033731424,352
7,3/17/20,1578,35,26161672,26160094,17.079745677818988,611
8,3/18/20,3038,60,26161672,26158634,17.079689866064527,1460
9,3/19/20,5704,92,26161672,26155968,17.079587944233896,2666
10,3/2/20,1,0,26161672,26161671,17.079805958660067,-5703
11,3/20/20,8403,149,26161672,26153269,17.07948475022239,8402
12,3/21/20,11727,195,26161672,26149945,17.079357645222515,3324
13,3/22/20,15800,253,26161672,26145872,17.079201877505636,4073
14,3/23/20,20884,360,26161672,26140788,17.079007411077065,5084
15,3/24/20,25681,475,26161672,26135991,17.078823887910367,4797
16,3/25/20,30841,632,26161672,26130831,17.07862643951694,5160
17,3/26/20,37877,867,26161672,26123795,17.078357142783574,7036
18,3/27/20,44876,1140,26161672,26116796,17.078089190223775,6999
19,3/28/20,52410,1492,26161672,26109262,17.077800675243292,7534
20,3/29/20,59648,1872,26161672,26102024,17.07752341717896,7238
21,3/3/20,2,0,26161672,26161670,17.079805920436208,-59646
22,3/30/20,66663,2287,26161672,26095009,17.07725462795325,66661
23,3/31/20,75833,2776,26161672,26085839,17.07690315800035,9170
24,3/4/20,11,0,26161672,26161661,17.079805576421414,-75822
25,3/5/20,23,0,26161672,26161649,17.079805117734836,12
26,3/6/20,31,0,26161672,26161641,17.079804811943667,8
27,3/7/20,76,0,26161672,26161596,17.0798030918666,45
28,3/8/20,106,0,26161672,26161566,17.07980194514691,30
29,3/9/20,142,0,26161672,26161530,17.079800569081552,36
30,4/1/20,83948,3411,26161672,26077724,17.076592021275832,83806
31,4/10/20,172348,11850,26161672,25989324,17.07319639627556,88400
32,4/11/20,181026,12773,26161672,25980646,17.072862434178578,8678
33,4/12/20,189033,13712,26161672,25972639,17.072554195726923,8007
34,4/13/20,195749,14730,26161672,25965923,17.072295582481626,6716
35,4/14/20,203020,15612,26161672,25958652,17.0720155224119,7271
36,4/15/20,214454,16398,26161672,25947218,17.071574955663475,11434
37,4/16/20,223691,17140,26161672,25937981,17.071218900361554,9237
38,4/17/20,230597,17616,26161672,25931075,17.070952614426417,6906
39,4/18/20,237474,18177,26161672,25924198,17.070687376210806,6877
40,4/19/20,243382,18704,26161672,25918290,17.070459455049864,5908
41,4/2/20,92506,4138,26161672,26069166,17.076263794603953,-150876
42,4/20/20,248416,19676,26161672,25913256,17.070265210409126,155910
43,4/21/20,253519,20348,26161672,25908153,17.07006826477932,5103
44,4/22/20,258222,20866,26161672,25903450,17.06988672243202,4703
45,4/23/20,263460,21523,26161672,25898212,17.069684489537725,5238
46,4/24/20,271590,22076,26161672,25890082,17.069370518968746,8130
47,4/25/20,282143,22511,26161672,25879529,17.0689628280496,10553
48,4/26/20,288045,22917,26161672,25873627,17.068734745339995,5902
49,4/27/20,291996,23399,26161672,25869676,17.068582029924524,3951
50,4/28/20,295106,23734,26161672,25866566,17.06846180472519,3110
51,4/29/20,299691,24180,26161672,25861981,17.068284533169038,4585
52,4/3/20,102987,4896,26161672,26058685,17.075861667911976,-196704
53,4/30/20,304372,24552,26161672,25857300,17.068103517504387,201385
54,4/4/20,113833,5683,26161672,26047839,17.075445366868497,-190539
55,4/5/20,123160,6594,26161672,26038512,17.075087230814784,9327
56,4/6/20,131815,7653,26161672,26029857,17.074754783294498,8655
57,4/7/20,139875,8927,26161672,26021797,17.074445090923746,8060
58,4/8/20,151061,9876,26161672,26010611,17.07401512811394,11186
59,4/9/20,161779,10928,26161672,25999893,17.07360298059267,10718
60,5/1/20,308314,24921,26161672,25853358,17.067951053770212,146535
61,5/10/20,335395,27640,26161672,25826277,17.066903019956552,27081
62,5/11/20,337055,27838,26161672,25824617,17.06683874226949,1660
63,5/12/20,338485,28055,26161672,25823187,17.066783367214224,1430
64,5/13/20,340661,28259,26161672,25821011,17.066699098309467,2176
65,5/14/20,343051,28420,26161672,25818621,17.066606533745812,2390
66,5/15/20,345813,28685,26161672,25815859,17.06649955096986,2762
67,5/16/20,348232,28857,26161672,25813440,17.066405844487353,2419
68,5/17/20,350121,28983,26161672,25811551,17.0663326628765,1889
69,5/18/20,351371,29070,26161672,25810301,17.06628423377325,1250
70,5/19/20,352845,29271,26161672,25808827,17.06622712316106,1474
71,5/2/20,312977,25211,26161672,25848695,17.06777067408538,-39868
72,5/20/20,354370,29389,26161672,25807302,17.066168033104134,41393
73,5/21/20,356458,29479,26161672,25805214,17.06608712249706,2088
74,5/22/20,358154,29582,26161672,25803518,17.066021397185278,1696
75,5/23/20,359926,29771,26161672,25801746,17.06595272202064,1772
76,5/24/20,361515,29856,26161672,25800157,17.06589113514465,1589
77,5/25/20,362764,29955,26161672,25798908,17.065842723414697,1249
78,5/26/20,363836,30015,26161672,25797836,17.065801170405067,1072
79,5/27/20,364965,30201,26161672,25796707,17.065757406086806,1129
80,5/28/20,366733,30235,26161672,25794939,17.06568886785871,1768
81,5/29/20,368284,30342,26161672,25793388,17.065628737976986,1551
82,5/3/20,316415,25495,26161672,25845257,17.06763766045914,-51869
83,5/30/20,369660,30429,26161672,25792012,17.06557538954893,53245
84,5/31/20,370770,30489,26161672,25790902,17.065532352042357,1110
85,5/4/20,318953,25848,26161672,25842719,17.067539455801175,-51817
86,5/5/20,321192,26130,26161672,25840480,17.06745281255754,2239
87,5/6/20,323978,26699,26161672,25837694,17.067344991410348,2786
88,5/7/20,327469,26928,26161672,25834203,17.06720986960496,3491
89,5/8/20,330407,27245,26161672,25831265,17.067096137934,2938
90,5/9/20,333122,27466,26161672,25828550,17.066991027220674,2715
91,6/1/20,371711,30623,26161672,25789961,17.065495865642347,38589
92,6/10/20,380156,31238,26161672,25781516,17.06516835902176,8445
93,6/11/20,380892,31269,26161672,25780780,17.065139811030026,736
94,6/12/20,381714,31423,26161672,25779958,17.06510792630409,822
95,6/13/20,382630,31441,26161672,25779042,17.06507239419524,916
96,6/14/20,383324,31468,26161672,25778348,17.06504547273936,694
97,6/15/20,383944,31498,26161672,25777728,17.065021421258017,620
98,6/16/20,384575,31553,26161672,25777097,17.06499694246287,631
99,6/17/20,385142,31579,26161672,25776530,17.064974945950382,567
100,6/18/20,385760,31603,26161672,25775912,17.06495097036451,618
101,6/19/20,386556,31624,26161672,25775116,17.064920088342138,796
102,6/2/20,373040,30676,26161672,25788632,17.065444332635224,-13516
103,6/20/20,387272,31703,26161672,25774400,17.064892309225836,14232
