,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Population,Susceptiple,Log susceptiple,Decresed susceptiple
1,2020-01-23,1,0,0,1,1,0,0,5840996,5840995,15.580411717004274,0
2,2020-01-24,3,0,0,3,2,0,0,5840996,5840993,15.580411374596801,2
3,2020-01-25,3,0,0,3,0,0,0,5840996,5840993,15.580411374596801,0
4,2020-01-26,4,0,0,4,1,0,0,5840996,5840992,15.58041120339302,1
5,2020-01-27,5,0,0,5,1,0,0,5840996,5840991,15.58041103218921,1
6,2020-01-28,7,0,0,7,2,0,0,5840996,5840989,15.580410689781502,2
7,2020-01-29,7,0,0,7,0,0,0,5840996,5840989,15.580410689781502,0
8,2020-01-30,10,0,0,10,3,0,0,5840996,5840986,15.58041017616972,3
9,2020-01-31,13,0,0,13,3,0,0,5840996,5840983,15.580409662557674,3
10,2020-02-01,16,0,0,16,3,0,0,5840996,5840980,15.580409148945364,3
11,2020-02-02,18,0,0,18,2,0,0,5840996,5840978,15.58040880653701,2
12,2020-02-03,18,0,0,18,0,0,0,5840996,5840978,15.58040880653701,0
13,2020-02-04,24,0,0,24,6,0,0,5840996,5840972,15.580407779311248,6
14,2020-02-05,28,0,0,28,4,0,0,5840996,5840968,15.580407094493486,4
15,2020-02-06,28,0,0,28,0,0,0,5840996,5840968,15.580407094493486,0
16,2020-02-07,30,0,0,30,2,0,0,5840996,5840966,15.58040675208443,2
17,2020-02-08,33,0,2,31,3,0,2,5840996,5840963,15.580406238470625,3
18,2020-02-09,40,0,2,38,7,0,0,5840996,5840956,15.580405040037387,7
19,2020-02-10,45,0,2,43,5,0,0,5840996,5840951,15.580404184012767,5
20,2020-02-11,47,0,9,38,2,0,7,5840996,5840949,15.580403841602715,2
21,2020-02-12,50,0,15,35,3,0,6,5840996,5840946,15.580403327987415,3
22,2020-02-13,58,0,15,43,8,0,0,5840996,5840938,15.580401958345327,8
23,2020-02-14,67,0,17,50,9,0,2,5840996,5840929,15.580400417495735,9
24,2020-02-15,72,0,18,54,5,0,1,5840996,5840924,15.580399561467157,5
25,2020-02-16,75,0,18,57,3,0,0,5840996,5840921,15.58039904784966,3
26,2020-02-17,77,0,24,53,2,0,6,5840996,5840919,15.580398705437847,2
27,2020-02-18,81,0,29,52,4,0,5,5840996,5840915,15.580398020613872,4
28,2020-02-19,84,0,34,50,3,0,5,5840996,5840912,15.580397506995583,3
29,2020-02-20,84,0,34,50,0,0,0,5840996,5840912,15.580397506995583,0
30,2020-02-21,85,0,37,48,1,0,3,5840996,5840911,15.580397335789428,1
31,2020-02-22,85,0,37,48,0,0,0,5840996,5840911,15.580397335789428,0
32,2020-02-23,89,0,51,38,4,0,14,5840996,5840907,15.580396650964515,4
33,2020-02-24,89,0,51,38,0,0,0,5840996,5840907,15.580396650964515,0
34,2020-02-25,91,0,53,38,2,0,2,5840996,5840905,15.580396308551883,2
