,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Population,Susceptiple,Log susceptiple,Decresed susceptiple
10,2020-02-01,1,0,0,1,1,0,0,46751175,46751174,17.66034992568313,0
11,2020-02-02,1,0,0,1,0,0,0,46751175,46751174,17.66034992568313,0
12,2020-02-03,1,0,0,1,0,0,0,46751175,46751174,17.66034992568313,0
13,2020-02-04,1,0,0,1,0,0,0,46751175,46751174,17.66034992568313,0
14,2020-02-05,1,0,0,1,0,0,0,46751175,46751174,17.66034992568313,0
15,2020-02-06,1,0,0,1,0,0,0,46751175,46751174,17.66034992568313,0
16,2020-02-07,1,0,0,1,0,0,0,46751175,46751174,17.66034992568313,0
17,2020-02-08,1,0,0,1,0,0,0,46751175,46751174,17.66034992568313,0
18,2020-02-09,2,0,0,2,1,0,0,46751175,46751173,17.66034990429329,1
19,2020-02-10,2,0,0,2,0,0,0,46751175,46751173,17.66034990429329,0
20,2020-02-11,2,0,0,2,0,0,0,46751175,46751173,17.66034990429329,0
21,2020-02-12,2,0,0,2,0,0,0,46751175,46751173,17.66034990429329,0
22,2020-02-13,2,0,0,2,0,0,0,46751175,46751173,17.66034990429329,0
23,2020-02-14,2,0,0,2,0,0,0,46751175,46751173,17.66034990429329,0
24,2020-02-15,2,0,2,0,0,0,2,46751175,46751173,17.66034990429329,0
25,2020-02-16,2,0,2,0,0,0,0,46751175,46751173,17.66034990429329,0
26,2020-02-17,2,0,2,0,0,0,0,46751175,46751173,17.66034990429329,0
27,2020-02-18,2,0,2,0,0,0,0,46751175,46751173,17.66034990429329,0
28,2020-02-19,2,0,2,0,0,0,0,46751175,46751173,17.66034990429329,0
29,2020-02-20,2,0,2,0,0,0,0,46751175,46751173,17.66034990429329,0
30,2020-02-21,2,0,2,0,0,0,0,46751175,46751173,17.66034990429329,0
31,2020-02-22,2,0,2,0,0,0,0,46751175,46751173,17.66034990429329,0
32,2020-02-23,2,0,2,0,0,0,0,46751175,46751173,17.66034990429329,0
33,2020-02-24,2,0,2,0,0,0,0,46751175,46751173,17.66034990429329,0
34,2020-02-25,6,0,2,4,4,0,0,46751175,46751169,17.660349818733934,4
35,2020-02-26,13,0,2,11,7,0,0,46751175,46751162,17.660349669005047,7
36,2020-02-27,15,0,2,13,2,0,0,46751175,46751160,17.66034962622536,2
37,2020-02-28,32,0,2,30,17,0,0,46751175,46751143,17.660349262597954,17
38,2020-02-29,45,0,2,43,13,0,0,46751175,46751130,17.660348984529847,13
39,2020-03-01,84,0,2,82,39,0,0,46751175,46751091,17.660348150325063,39
40,2020-03-02,120,0,2,118,36,0,0,46751175,46751055,17.660347380289263,36
41,2020-03-03,165,1,2,162,45,1,0,46751175,46751010,17.660346417743675,45
42,2020-03-04,222,2,2,218,57,1,0,46751175,46750953,17.660345198517938,57
43,2020-03-05,259,3,2,254,37,1,0,46751175,46750916,17.660344407089905,37
44,2020-03-06,400,5,2,393,141,2,0,46751175,46750775,17.66034139110167,141
45,2020-03-07,500,10,30,460,100,5,28,46751175,46750675,17.66033925209741,100
46,2020-03-08,673,17,30,626,173,7,0,46751175,46750502,17.660335551609233,173
47,2020-03-09,1073,28,32,1013,400,11,2,46751175,46750102,17.660326995514772,400
48,2020-03-10,1695,35,32,1628,622,7,0,46751175,46749480,17.660313690642457,622
49,2020-03-11,2277,54,183,2040,582,19,151,46751175,46748898,17.660301241228627,582
50,2020-03-12,2277,55,183,2039,0,1,0,46751175,46748898,17.660301241228627,0
51,2020-03-13,5232,133,193,4906,2955,78,10,46751175,46745943,17.66023802918464,2955
52,2020-03-14,6391,195,517,5679,1159,62,324,46751175,46744784,17.660213235281816,1159
53,2020-03-15,7798,289,517,6992,1407,94,0,46751175,46743377,17.66018313521385,1407
54,2020-03-16,9942,342,530,9070,2144,53,13,46751175,46741233,17.660137266701366,2144
55,2020-03-17,11748,533,1028,10187,1806,191,498,46751175,46739427,17.660098627693035,1806
56,2020-03-18,13910,623,1081,12206,2162,90,53,46751175,46737265,17.66005237017249,2162
57,2020-03-19,17963,830,1107,16026,4053,207,26,46751175,46733212,17.65996564760227,4053
58,2020-03-20,20410,1043,1588,17779,2447,213,481,46751175,46730765,17.65991328518246,2447
59,2020-03-21,25374,1375,2125,21874,4964,332,537,46751175,46725801,17.659807054016106,4964
60,2020-03-22,28768,1772,2575,24421,3394,397,450,46751175,46722407,17.659734414848934,3394
61,2020-03-23,35136,2311,2575,30250,6368,539,0,46751175,46716039,17.659598111211995,6368
62,2020-03-24,39885,2808,3794,33283,4749,497,1219,46751175,46711290,17.659496449309533,4749
63,2020-03-25,49515,3647,5367,40501,9630,839,1573,46751175,46701660,17.659290268045925,9630
64,2020-03-26,57786,4365,7015,46406,8271,718,1648,46751175,46693389,17.65911314944895,8271
65,2020-03-27,65719,5138,9357,51224,7933,773,2342,46751175,46685456,17.658943239443765,7933
66,2020-03-28,73235,5982,12285,54968,7516,844,2928,46751175,46677940,17.65878223416036,7516
67,2020-03-29,80110,6803,14709,58598,6875,821,2424,46751175,46671065,17.658634937464218,6875
68,2020-03-30,87956,7716,16780,63460,7846,913,2071,46751175,46663219,17.658466810604885,7846
69,2020-03-31,95923,8464,19259,68200,7967,748,2479,46751175,46655252,17.65829606198601,7967
70,2020-04-01,104118,9387,22647,72084,8195,923,3388,46751175,46647057,17.65812039645085,8195
71,2020-04-02,112065,10348,26743,74974,7947,961,4096,46751175,46639110,17.65795001749168,7947
72,2020-04-03,119199,11198,30513,77488,7134,850,3770,46751175,46631976,17.657797044039352,7134
73,2020-04-04,126168,11947,34219,80002,6969,749,3706,46751175,46625007,17.65764758606229,6969
74,2020-04-05,131646,12641,38080,80925,5478,694,3861,46751175,46619529,17.657530088560748,5478
75,2020-04-06,136675,13341,40437,82897,5029,700,2357,46751175,46614500,17.6574222094943,5029
76,2020-04-07,141942,14045,43208,84689,5267,704,2771,46751175,46609233,17.657309212517326,5267
77,2020-04-08,148220,14792,48021,85407,6278,747,4813,46751175,46602955,17.657174509102585,6278
78,2020-04-09,153222,15447,52165,85610,5002,655,4144,46751175,46597953,17.65706717109243,5002
79,2020-04-10,158273,16081,55668,86524,5051,634,3503,46751175,46592902,17.656958769897805,5051
80,2020-04-11,163027,16606,59109,87312,4754,525,3441,46751175,46588148,17.656856731983353,4754
81,2020-04-12,166831,17209,62391,87231,3804,603,3282,46751175,46584344,17.656775076981532,3804
82,2020-04-13,170099,17756,64727,87616,3268,547,2336,46751175,46581076,17.656704922196603,3268
83,2020-04-14,172541,18056,67504,86981,2442,300,2777,46751175,46578634,17.656652496099518,2442
84,2020-04-15,177644,18708,70853,88083,5103,652,3349,46751175,46573531,17.65654293342848,5103
85,2020-04-16,184948,19315,74797,90836,7304,607,3944,46751175,46566227,17.656386093853808,7304
86,2020-04-17,190839,20002,74797,96040,5891,687,0,46751175,46560336,17.656259577856265,5891
