,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Population,Susceptiple,Log susceptiple,Decresed susceptiple
0,2020-01-22,2,0,0,2,0,0,0,69764925,69764923,18.060641905602537,0
1,2020-01-23,3,0,0,3,1,0,0,69764925,69764922,18.060641891268688,1
2,2020-01-24,5,0,0,5,2,0,0,69764925,69764920,18.060641862600985,2
3,2020-01-25,7,0,0,7,2,0,0,69764925,69764918,18.060641833933282,2
4,2020-01-26,8,0,2,6,1,0,2,69764925,69764917,18.06064181959943,1
5,2020-01-27,8,0,2,6,0,0,0,69764925,69764917,18.06064181959943,0
6,2020-01-28,14,0,5,9,6,0,3,69764925,69764911,18.060641733596313,6
7,2020-01-29,14,0,5,9,0,0,0,69764925,69764911,18.060641733596313,0
8,2020-01-30,14,0,5,9,0,0,0,69764925,69764911,18.060641733596313,0
9,2020-01-31,19,0,5,14,5,0,0,69764925,69764906,18.060641661927043,5
10,2020-02-01,19,0,5,14,0,0,0,69764925,69764906,18.060641661927043,0
11,2020-02-02,19,0,5,14,0,0,0,69764925,69764906,18.060641661927043,0
12,2020-02-03,19,0,5,14,0,0,0,69764925,69764906,18.060641661927043,0
13,2020-02-04,25,0,5,20,6,0,0,69764925,69764900,18.060641575923913,6
14,2020-02-05,25,0,5,20,0,0,0,69764925,69764900,18.060641575923913,0
15,2020-02-06,25,0,5,20,0,0,0,69764925,69764900,18.060641575923913,0
16,2020-02-07,25,0,5,20,0,0,0,69764925,69764900,18.060641575923913,0
17,2020-02-08,32,0,10,22,7,0,5,69764925,69764893,18.06064147558692,7
18,2020-02-09,32,0,10,22,0,0,0,69764925,69764893,18.06064147558692,0
19,2020-02-10,32,0,10,22,0,0,0,69764925,69764893,18.06064147558692,0
20,2020-02-11,33,0,10,23,1,0,0,69764925,69764892,18.060641461253063,1
21,2020-02-12,33,0,10,23,0,0,0,69764925,69764892,18.060641461253063,0
22,2020-02-13,33,0,12,21,0,0,2,69764925,69764892,18.060641461253063,0
23,2020-02-14,33,0,12,21,0,0,0,69764925,69764892,18.060641461253063,0
24,2020-02-15,33,0,12,21,0,0,0,69764925,69764892,18.060641461253063,0
25,2020-02-16,34,0,14,20,1,0,2,69764925,69764891,18.060641446919206,1
26,2020-02-17,35,0,15,20,1,0,1,69764925,69764890,18.06064143258535,1
27,2020-02-18,35,0,15,20,0,0,0,69764925,69764890,18.06064143258535,0
28,2020-02-19,35,0,15,20,0,0,0,69764925,69764890,18.06064143258535,0
29,2020-02-20,35,0,15,20,0,0,0,69764925,69764890,18.06064143258535,0
30,2020-02-21,35,0,17,18,0,0,2,69764925,69764890,18.06064143258535,0
31,2020-02-22,35,0,17,18,0,0,0,69764925,69764890,18.06064143258535,0
32,2020-02-23,35,0,21,14,0,0,4,69764925,69764890,18.06064143258535,0
33,2020-02-24,35,0,21,14,0,0,0,69764925,69764890,18.06064143258535,0
34,2020-02-25,37,0,22,15,2,0,1,69764925,69764888,18.060641403917632,2
35,2020-02-26,40,0,22,18,3,0,0,69764925,69764885,18.06064136091606,3
36,2020-02-27,40,0,22,18,0,0,0,69764925,69764885,18.06064136091606,0
37,2020-02-28,41,0,28,13,1,0,6,69764925,69764884,18.060641346582198,1
38,2020-02-29,42,0,28,14,1,0,0,69764925,69764883,18.06064133224834,1
39,2020-03-01,42,1,28,13,0,1,0,69764925,69764883,18.06064133224834,0
40,2020-03-02,43,1,31,11,1,0,3,69764925,69764882,18.06064131791448,1
41,2020-03-03,43,1,31,11,0,0,0,69764925,69764882,18.06064131791448,0
42,2020-03-04,43,1,31,11,0,0,0,69764925,69764882,18.06064131791448,0
43,2020-03-05,47,1,31,15,4,0,0,69764925,69764878,18.060641260579043,4
44,2020-03-06,48,1,31,16,1,0,0,69764925,69764877,18.060641246245183,1
45,2020-03-07,50,1,31,18,2,0,0,69764925,69764875,18.060641217577462,2
46,2020-03-08,50,1,31,18,0,0,0,69764925,69764875,18.060641217577462,0
47,2020-03-09,50,1,31,18,0,0,0,69764925,69764875,18.060641217577462,0
48,2020-03-10,53,1,33,19,3,0,2,69764925,69764872,18.060641174575878,3
