,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Population,Susceptiple,Log susceptiple,Decresed susceptiple
0,2020-01-22,1,0,0,1,0,0,0,330610570,330610569,19.6164517119872,0
1,2020-01-23,1,0,0,1,0,0,0,330610570,330610569,19.6164517119872,0
2,2020-01-24,2,0,0,2,1,0,0,330610570,330610568,19.616451708962494,1
3,2020-01-25,2,0,0,2,0,0,0,330610570,330610568,19.616451708962494,0
4,2020-01-26,5,0,0,5,3,0,0,330610570,330610565,19.616451699888373,3
5,2020-01-27,5,0,0,5,0,0,0,330610570,330610565,19.616451699888373,0
6,2020-01-28,5,0,0,5,0,0,0,330610570,330610565,19.616451699888373,0
7,2020-01-29,5,0,0,5,0,0,0,330610570,330610565,19.616451699888373,0
8,2020-01-30,5,0,0,5,0,0,0,330610570,330610565,19.616451699888373,0
9,2020-01-31,7,0,0,7,2,0,0,330610570,330610563,19.61645169383896,2
10,2020-02-01,8,0,0,8,1,0,0,330610570,330610562,19.616451690814255,1
11,2020-02-02,8,0,0,8,0,0,0,330610570,330610562,19.616451690814255,0
12,2020-02-03,11,0,0,11,3,0,0,330610570,330610559,19.616451681740134,3
13,2020-02-04,11,0,0,11,0,0,0,330610570,330610559,19.616451681740134,0
14,2020-02-05,11,0,0,11,0,0,0,330610570,330610559,19.616451681740134,0
15,2020-02-06,11,0,0,11,0,0,0,330610570,330610559,19.616451681740134,0
16,2020-02-07,11,0,0,11,0,0,0,330610570,330610559,19.616451681740134,0
17,2020-02-08,11,0,0,11,0,0,0,330610570,330610559,19.616451681740134,0
18,2020-02-09,11,0,3,8,0,0,3,330610570,330610559,19.616451681740134,0
19,2020-02-10,11,0,3,8,0,0,0,330610570,330610559,19.616451681740134,0
20,2020-02-11,12,0,3,9,1,0,0,330610570,330610558,19.61645167871543,1
21,2020-02-12,12,0,3,9,0,0,0,330610570,330610558,19.61645167871543,0
22,2020-02-13,13,0,3,10,1,0,0,330610570,330610557,19.61645167569072,1
23,2020-02-14,13,0,3,10,0,0,0,330610570,330610557,19.61645167569072,0
24,2020-02-15,13,0,3,10,0,0,0,330610570,330610557,19.61645167569072,0
25,2020-02-16,13,0,3,10,0,0,0,330610570,330610557,19.61645167569072,0
26,2020-02-17,13,0,3,10,0,0,0,330610570,330610557,19.61645167569072,0
27,2020-02-18,13,0,3,10,0,0,0,330610570,330610557,19.61645167569072,0
28,2020-02-19,13,0,3,10,0,0,0,330610570,330610557,19.61645167569072,0
29,2020-02-20,13,0,3,10,0,0,0,330610570,330610557,19.61645167569072,0
30,2020-02-21,15,0,5,10,2,0,2,330610570,330610555,19.616451669641307,2
31,2020-02-22,15,0,5,10,0,0,0,330610570,330610555,19.616451669641307,0
32,2020-02-23,15,0,5,10,0,0,0,330610570,330610555,19.616451669641307,0
33,2020-02-24,15,0,5,10,0,0,0,330610570,330610555,19.616451669641307,0
34,2020-02-25,15,0,6,9,0,0,1,330610570,330610555,19.616451669641307,0
35,2020-02-26,15,0,6,9,0,0,0,330610570,330610555,19.616451669641307,0
