,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Population,Susceptiple,Log susceptiple,Decresed susceptiple
9,2020-01-31,2,0,0,2,2,0,0,67814098,67814096,18.03228063690597,0
10,2020-02-01,2,0,0,2,0,0,0,67814098,67814096,18.03228063690597,0
11,2020-02-02,2,0,0,2,0,0,0,67814098,67814096,18.03228063690597,0
12,2020-02-03,8,0,0,8,6,0,0,67814098,67814090,18.032280548428783,6
13,2020-02-04,8,0,0,8,0,0,0,67814098,67814090,18.032280548428783,0
14,2020-02-05,9,0,0,9,1,0,0,67814098,67814089,18.032280533682588,1
15,2020-02-06,9,0,0,9,0,0,0,67814098,67814089,18.032280533682588,0
16,2020-02-07,9,0,0,9,0,0,0,67814098,67814089,18.032280533682588,0
17,2020-02-08,13,0,0,13,4,0,0,67814098,67814085,18.032280474697792,4
18,2020-02-09,14,0,0,14,1,0,0,67814098,67814084,18.032280459951593,1
19,2020-02-10,14,0,0,14,0,0,0,67814098,67814084,18.032280459951593,0
20,2020-02-11,15,0,0,15,1,0,0,67814098,67814083,18.032280445205394,1
21,2020-02-12,16,0,1,15,1,0,1,67814098,67814082,18.032280430459192,1
22,2020-02-13,17,0,1,16,1,0,0,67814098,67814081,18.032280415712993,1
23,2020-02-14,18,0,1,17,1,0,0,67814098,67814080,18.032280400966794,1
24,2020-02-15,18,0,1,17,0,0,0,67814098,67814080,18.032280400966794,0
25,2020-02-16,18,0,8,10,0,0,7,67814098,67814080,18.032280400966794,0
26,2020-02-17,19,0,8,11,1,0,0,67814098,67814079,18.03228038622059,1
27,2020-02-18,19,0,8,11,0,0,0,67814098,67814079,18.03228038622059,0
28,2020-02-19,20,0,8,12,1,0,0,67814098,67814078,18.032280371474393,1
29,2020-02-20,22,0,8,14,2,0,0,67814098,67814076,18.03228034198199,2
30,2020-02-21,23,0,8,15,1,0,0,67814098,67814075,18.03228032723579,1
31,2020-02-22,23,0,8,15,0,0,0,67814098,67814075,18.03228032723579,0
32,2020-02-23,28,0,8,20,5,0,0,67814098,67814070,18.03228025350478,5
33,2020-02-24,30,0,8,22,2,0,0,67814098,67814068,18.032280224012375,2
34,2020-02-25,34,0,8,26,4,0,0,67814098,67814064,18.03228016502756,4
35,2020-02-26,37,0,8,29,3,0,0,67814098,67814061,18.03228012078895,3
36,2020-02-27,44,0,8,36,7,0,0,67814098,67814054,18.032280017565515,7
37,2020-02-28,56,0,8,48,12,0,0,67814098,67814042,18.03227984061103,12
38,2020-02-29,61,0,8,53,5,0,0,67814098,67814037,18.032279766879984,5
