,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Population,Susceptiple,Log susceptiple,Decresed susceptiple
1,2020-01-23,2,0,0,2,2,0,0,97160127,97160125,18.391870948635088,0
2,2020-01-24,2,0,0,2,0,0,0,97160127,97160125,18.391870948635088,0
3,2020-01-25,2,0,0,2,0,0,0,97160127,97160125,18.391870948635088,0
4,2020-01-26,2,0,0,2,0,0,0,97160127,97160125,18.391870948635088,0
5,2020-01-27,2,0,0,2,0,0,0,97160127,97160125,18.391870948635088,0
6,2020-01-28,2,0,0,2,0,0,0,97160127,97160125,18.391870948635088,0
7,2020-01-29,2,0,0,2,0,0,0,97160127,97160125,18.391870948635088,0
8,2020-01-30,2,0,0,2,0,0,0,97160127,97160125,18.391870948635088,0
9,2020-01-31,2,0,0,2,0,0,0,97160127,97160125,18.391870948635088,0
10,2020-02-01,6,0,1,5,4,0,1,97160127,97160121,18.391870907465936,4
11,2020-02-02,6,0,1,5,0,0,0,97160127,97160121,18.391870907465936,0
12,2020-02-03,8,0,1,7,2,0,0,97160127,97160119,18.391870886881357,2
13,2020-02-04,8,0,1,7,0,0,0,97160127,97160119,18.391870886881357,0
14,2020-02-05,8,0,1,7,0,0,0,97160127,97160119,18.391870886881357,0
15,2020-02-06,10,0,1,9,2,0,0,97160127,97160117,18.39187086629678,2
16,2020-02-07,10,0,1,9,0,0,0,97160127,97160117,18.39187086629678,0
17,2020-02-08,13,0,1,12,3,0,0,97160127,97160114,18.391870835419912,3
18,2020-02-09,13,0,1,12,0,0,0,97160127,97160114,18.391870835419912,0
19,2020-02-10,14,0,1,13,1,0,0,97160127,97160113,18.391870825127622,1
20,2020-02-11,15,0,6,9,1,0,5,97160127,97160112,18.391870814835332,1
21,2020-02-12,15,0,6,9,0,0,0,97160127,97160112,18.391870814835332,0
22,2020-02-13,16,0,7,9,1,0,1,97160127,97160111,18.391870804543043,1
23,2020-02-14,16,0,7,9,0,0,0,97160127,97160111,18.391870804543043,0
24,2020-02-15,16,0,7,9,0,0,0,97160127,97160111,18.391870804543043,0
25,2020-02-16,16,0,7,9,0,0,0,97160127,97160111,18.391870804543043,0
26,2020-02-17,16,0,7,9,0,0,0,97160127,97160111,18.391870804543043,0
27,2020-02-18,16,0,7,9,0,0,0,97160127,97160111,18.391870804543043,0
28,2020-02-19,16,0,7,9,0,0,0,97160127,97160111,18.391870804543043,0
29,2020-02-20,16,0,7,9,0,0,0,97160127,97160111,18.391870804543043,0
30,2020-02-21,16,0,14,2,0,0,7,97160127,97160111,18.391870804543043,0
31,2020-02-22,16,0,14,2,0,0,0,97160127,97160111,18.391870804543043,0
32,2020-02-23,16,0,14,2,0,0,0,97160127,97160111,18.391870804543043,0
33,2020-02-24,16,0,14,2,0,0,0,97160127,97160111,18.391870804543043,0
34,2020-02-25,16,0,16,0,0,0,2,97160127,97160111,18.391870804543043,0
35,2020-02-26,16,0,16,0,0,0,0,97160127,97160111,18.391870804543043,0
36,2020-02-27,16,0,16,0,0,0,0,97160127,97160111,18.391870804543043,0
37,2020-02-28,16,0,16,0,0,0,0,97160127,97160111,18.391870804543043,0
38,2020-02-29,16,0,16,0,0,0,0,97160127,97160111,18.391870804543043,0
