,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Population,Susceptiple,Log susceptiple,Decresed susceptiple
0,2020-01-22,548,17,28,503,0,0,0,1438207241,1438206693,21.086662822355674,0
1,2020-01-23,643,18,30,595,95,1,2,1438207241,1438206598,21.086662756301187,95
2,2020-01-24,920,26,36,858,277,8,6,1438207241,1438206321,21.08666256370019,277
3,2020-01-25,1406,42,39,1325,486,16,3,1438207241,1438205835,21.086662225779214,486
4,2020-01-26,2075,56,49,1970,669,14,10,1438207241,1438205166,21.086661760616202,669
5,2020-01-27,2877,82,58,2737,802,26,9,1438207241,1438204364,21.086661202976554,802
6,2020-01-28,5509,131,101,5277,2632,49,43,1438207241,1438201732,21.086659372915076,2632
7,2020-01-29,6087,133,119,5835,578,2,18,1438207241,1438201154,21.086658971024224,578
8,2020-01-30,8141,171,133,7837,2054,38,14,1438207241,1438199100,21.086657542850244,2054
9,2020-01-31,9802,213,210,9379,1661,42,77,1438207241,1438197439,21.086656387932987,1661
10,2020-02-01,11891,259,270,11362,2089,46,60,1438207241,1438195350,21.086654935419265,2089
11,2020-02-02,16630,361,447,15822,4739,102,177,1438207241,1438190611,21.086651640312095,4739
12,2020-02-03,19716,425,590,18701,3086,64,143,1438207241,1438187525,21.086649494558056,3086
13,2020-02-04,23707,491,807,22409,3991,66,217,1438207241,1438183534,21.08664671953361,3991
14,2020-02-05,27440,563,1057,25820,3733,72,250,1438207241,1438179801,21.08664412389491,3733
15,2020-02-06,30587,633,1401,28553,3147,70,344,1438207241,1438176654,21.086641935709928,3147
16,2020-02-07,34110,718,1879,31513,3523,85,478,1438207241,1438173131,21.086639486077395,3523
17,2020-02-08,36814,805,2433,33576,2704,87,554,1438207241,1438170427,21.086637605912564,2704
18,2020-02-09,39829,905,3014,35910,3015,100,581,1438207241,1438167412,21.086635509496798,3015
19,2020-02-10,42354,1012,3667,37675,2525,107,653,1438207241,1438164887,21.086633753788668,2525
20,2020-02-11,44386,1112,4350,38924,2032,100,683,1438207241,1438162855,21.086632340875965,2032
21,2020-02-12,46267,1117,4756,40394,1881,5,406,1438207241,1438160974,21.086631032956475,1881
22,2020-02-13,59895,1369,5826,52700,13628,252,1070,1438207241,1438147346,21.08662155692089,13628
23,2020-02-14,66358,1521,7497,57340,6463,152,1671,1438207241,1438140883,21.08661706293455,6463
24,2020-02-15,68413,1663,8764,57986,2055,142,1267,1438207241,1438138828,21.086615634005373,2055
25,2020-02-16,70513,1766,10168,58579,2100,103,1404,1438207241,1438136728,21.08661417378367,2100
26,2020-02-17,72434,1864,11784,58786,1921,98,1616,1438207241,1438134807,21.08661283802661,1921
27,2020-02-18,74211,2003,13491,58717,1777,139,1707,1438207241,1438133030,21.086611602397593,1777
28,2020-02-19,74619,2116,15177,57326,408,113,1686,1438207241,1438132622,21.0866113186964,408
29,2020-02-20,75077,2238,17129,55710,458,122,1952,1438207241,1438132164,21.08661100022781,458
30,2020-02-21,75550,2238,17688,55624,473,0,559,1438207241,1438131691,21.086610671328913,473
31,2020-02-22,77001,2443,21559,52999,1451,205,3871,1438207241,1438130240,21.086609662380468,1451
32,2020-02-23,77022,2445,21985,52592,21,2,426,1438207241,1438130219,21.086609647778175,21
33,2020-02-24,77241,2595,23714,50932,219,150,1729,1438207241,1438130000,21.0866094954971,219
34,2020-02-25,77754,2665,26297,48792,513,70,2583,1438207241,1438129487,21.086609138783803,513
35,2020-02-26,78166,2717,28646,46803,412,52,2349,1438207241,1438129075,21.08660885230052,412
36,2020-02-27,78600,2746,31438,44416,434,29,2792,1438207241,1438128641,21.086608550519497,434
37,2020-02-28,78928,2790,34784,41354,328,44,3346,1438207241,1438128313,21.086608322445297,328
38,2020-02-29,79356,2837,37711,38808,428,47,2927,1438207241,1438127885,21.086608024836202,428
39,2020-03-01,79932,2872,40507,36553,576,35,2796,1438207241,1438127309,21.086607624315413,576
40,2020-03-02,80136,2914,43185,34037,204,42,2678,1438207241,1438127105,21.086607482464263,204
41,2020-03-03,80261,2947,45750,31564,125,33,2565,1438207241,1438126980,21.086607395545656,125
42,2020-03-04,80386,2983,48297,29106,125,36,2547,1438207241,1438126855,21.08660730862704,125
43,2020-03-05,80537,3015,50580,26942,151,32,2283,1438207241,1438126704,21.08660720362934,151
44,2020-03-06,80690,3044,52225,25421,153,29,1645,1438207241,1438126551,21.086607097240936,153
45,2020-03-07,80770,3072,53818,23880,80,28,1593,1438207241,1438126471,21.086607041613007,80
46,2020-03-08,80823,3100,55664,22059,53,28,1846,1438207241,1438126418,21.086607004759504,53
47,2020-03-09,80860,3123,57080,20657,37,23,1416,1438207241,1438126381,21.086606979031583,37
48,2020-03-10,80887,3139,58457,19291,27,16,1377,1438207241,1438126354,21.086606960257154,27
49,2020-03-11,80921,3161,59918,17842,34,22,1461,1438207241,1438126320,21.086606936615283,34
50,2020-03-12,80932,3172,61174,16586,11,11,1256,1438207241,1438126309,21.08660692896644,11
51,2020-03-13,80945,3180,62467,15298,13,8,1293,1438207241,1438126296,21.0866069199269,13
52,2020-03-14,80977,3193,63928,13856,32,13,1461,1438207241,1438126264,21.086606897675725,32
53,2020-03-15,81003,3203,65285,12515,26,10,1357,1438207241,1438126238,21.086606879596644,26
54,2020-03-16,81033,3217,66178,11638,30,14,893,1438207241,1438126208,21.086606858736168,30
55,2020-03-17,81058,3230,67066,10762,25,13,888,1438207241,1438126183,21.086606841352435,25
56,2020-03-18,81102,3241,68023,9838,44,11,957,1438207241,1438126139,21.08660681075707,44
57,2020-03-19,81156,3249,68803,9104,54,8,780,1438207241,1438126085,21.086606773208207,54
58,2020-03-20,81250,3253,69534,8463,94,4,731,1438207241,1438125991,21.086606707845366,94
59,2020-03-21,81305,3259,70125,7921,55,6,591,1438207241,1438125936,21.08660666960115,55
60,2020-03-22,81435,3274,70630,7531,130,15,505,1438207241,1438125806,21.086606579205725,130
61,2020-03-23,81498,3274,71082,7142,63,0,452,1438207241,1438125743,21.086606535398708,63
62,2020-03-24,81591,3281,71548,6762,93,7,466,1438207241,1438125650,21.086606470731205,93
63,2020-03-25,81661,3285,72041,6335,70,4,493,1438207241,1438125580,21.086606422056736,70
64,2020-03-26,81782,3291,72449,6042,121,6,408,1438207241,1438125459,21.086606337919434,121
65,2020-03-27,81897,3296,72988,5613,115,5,539,1438207241,1438125344,21.086606257954223,115
66,2020-03-28,81999,3299,73367,5333,102,3,379,1438207241,1438125242,21.086606187028554,102
67,2020-03-29,82122,3304,73849,4969,123,5,482,1438207241,1438125119,21.086606101500532,123
68,2020-03-30,82198,3308,74190,4700,76,4,341,1438207241,1438125043,21.086606048653948,76
69,2020-03-31,82279,3309,74473,4497,81,1,283,1438207241,1438124962,21.08660599233061,81
70,2020-04-01,82361,3316,74672,4373,82,7,199,1438207241,1438124880,21.08660593531192,82
71,2020-04-02,82432,3322,74832,4278,71,6,160,1438207241,1438124809,21.086605885942074,71
72,2020-04-03,82511,3326,75027,4158,79,4,195,1438207241,1438124730,21.08660583100943,79
73,2020-04-04,82543,3330,75213,4000,32,4,186,1438207241,1438124698,21.08660580875823,32
